name,year,match_method,omdb_title,omdb_year,Plot,Genre_full,Actors_full,Writer_full,Director_full,imdbRating_omdb
Prom Night,1980,exact,Prom Night,1980,"For six long years, Hamilton High School seniors Kelly Lynch, Jude Cunningham, Wendy Richards, and Nick McBride have been hiding the truth of what happened to 10-year-old Robin Hammond the day her broken body was discovered near an abandoned convent. The foursome keeps secret of how they taunted Robin - backed her into a corner until, frightened, she stood on a window ledge - and fell to her death. Though an accident, the then-12-year-olds feared they would be held responsible and vowed never to tell. But someone else was there that day - watching, and now, that someone is ready to exact murderous revenge on prom night.","Horror, Mystery, Thriller","Leslie Nielsen, Jamie Lee Curtis, Casey Stevens","William Gray, Robert Guza Jr.",Paul Lynch,5.3
Smokey and the Bandit II,1980,exact,Smokey and the Bandit II,1980,"It's been a few years since Cletus and the Bandit made their famous 28-hour run to Texas for a few cases of Coors. Bandit is now a washed-up has-been living in the past, until Big Enos and Little Enos make him another offer: Transport a live Elephant across country in 3 days or less.","Action, Adventure, Comedy","Burt Reynolds, Jackie Gleason, Jerry Reed","Hal Needham, Robert L. Levy, Jerry Belson",Hal Needham,5.3
Cattle Annie and Little Britches,1980,exact,Cattle Annie and Little Britches,1980,"In 19th-century Oklahoma, two teen girls who love stories about outlaws, are on a quest to meet and join up with them. They find a shadow of a former gang and although disappointed, still try to help them escape from a vigorous Marshal.","Drama, Western","Scott Glenn, Redmond Gleeson, William Russ","David Eyre, Robert Ward",Lamont Johnson,6.1
Seems Like Old Times,1980,exact,Seems Like Old Times,1980,"Wrongfully accused of a bank robbery, a writer seeks the help of his ex-wife, who is now married to the soon-to-be Attorney General of California.","Comedy, Romance","Goldie Hawn, Chevy Chase, Charles Grodin",Neil Simon,Jay Sandrich,6.7
Private Benjamin,1980,exact,Private Benjamin,1980,"When her husband dies on their wedding night, Judy decides to join the United States Army. She realizes that she has never been independent in her entire life. What looks like a bad decision at first, turns out not so bad at all. That is, until her superior officer makes sexual advances on her. She has been transferred to NATO headquarters in Europe and (re)meets the Frenchman Henri Tremont. Judy and Henri decide to marry, but will they?","Comedy, War","Goldie Hawn, Eileen Brennan, Armand Assante","Nancy Meyers, Charles Shyer, Harvey Miller",Howard Zieff,6.2
The Hollywood Knights,1980,exact,The Hollywood Knights,1980,"Led by their comedic leader, Turk, the Hollywood Knights car club raise hell throughout Beverly Hills on Halloween Night, 1965. Everything from chaotic pranks, drag racing and high school love.",Comedy,"Tony Danza, Michelle Pfeiffer, Julius Averitt","Floyd Mutrux, Richard Lederer, Bill Tennant",Floyd Mutrux,6.2
Motel Hell,1980,exact,Motel Hell,1980,"Farmer Vincent kidnaps unsuspecting travellers and is burying them in his garden. Unfortunately for his victims, they are not dead. He feeds his victims to prepare them for his roadside stand. His motto is: It takes all kinds of critters...to make Farmer Vincents fritters. The movie is gory, but is also a parody of slasher movies like Last House on the Left.","Comedy, Horror, Thriller","Rory Calhoun, Paul Linke, Nancy Parsons","Robert Jaffe, Steven-Charles Jaffe",Kevin Connor,6.0
The Jazz Singer,1980,exact,The Jazz Singer,1980,"Neil Diamond stars in this motion picture as Yussel Rabinovitch, a young Jewish cantor who strives to make a career outside the synagogue in popular music as Jess Robin. Against the wishes of his rigid father and his loving wife, Yussel travels from New York City to Los Angeles to play his music. Swept up by the excitement, he meets a spunky manager who believes in his talent and shares his dream. He grows apart from his family, and becomes confused about what he should ultimately do with his life.","Drama, Music, Romance","Laurence Olivier, Neil Diamond, Lucie Arnaz","Samson Raphaelson, Herbert Baker, Stephen H. Foreman","Richard Fleischer, Sidney J. Furie",5.9
Coal Miner's Daughter,1980,exact,Coal Miner's Daughter,1980,"At only 13, Loretta Webb marries Doolittle Lynn and is soon responsible for a large family. She appears destined to a life of homemaking, but Doolittle recognizes his wife's musical talent, and buys her a guitar as an anniversary present one year. At 18, the busy mother of four children still finds time to write and sing songs at small fairs and local honky-tonks. This gift sets Loretta Lynn on the grueling, tumultuous path to superstardom and country-music greatness.","Biography, Drama, Music","Sissy Spacek, Tommy Lee Jones, Levon Helm","Loretta Lynn, George Vecsey, Thomas Rickman",Michael Apted,7.5
The Watcher in the Woods,1980,exact,The Watcher in the Woods,1980,"When a normal American family moves into a beautiful old English house in a wooded area, strange, paranormal appearances befall them in this interesting twist to the well-known haunted-house tale. Their daughter Jan sees, and daughter Ellie hears, the voice of a young teenage girl who mysteriously disappeared during a total solar eclipse decades before...","Family, Horror, Mystery","Bette Davis, Lynn-Holly Johnson, Kyle Richards","Brian Clemens, Harry Spalding, Rosemary Anne Sisson","John Hough, Vincent McEveety",6.1
Breaker Morant,1980,exact,Breaker Morant,1980,"During the Boer War, three Australian lieutenants are on trial for shooting Boer prisoners. Though they acted under orders, they are being used as scapegoats by the General Staff, who hopes to distance themselves from the irregular practices of the war. The trial does not progress as smoothly as expected by the General Staff, as the defence puts up a strong fight in the courtroom.","Drama, History, War","Edward Woodward, Jack Thompson, John Waters","Jonathan Hardy, David Stevens, Bruce Beresford",Bruce Beresford,7.8
